-------------------------------------------------------------------------------
LEV PRES  HGHT  TEMP  DEWP  RH  DD   WETB DIR SPD THETA THE-V THE-W THE-E   W
     mb     m     C     C    %   C     C  deg knt   K     K     K     K    g/kg
-------------------------------------------------------------------------------
 76   29 24134 -57.5 -89.5   1 32.0 -58.7 152   3 593.6 593.6 320.3 593.6  0.00
 77   26 24829 -53.5 -86.5   1 33.0 -55.6 166   6 623.8 623.8 321.6 623.9  0.01
 78   24 25342 -55.5 -87.5   1 32.0 -57.3 127  12 632.4 632.4 322.0 632.5  0.01
 79   24 25342 -53.9 -86.9   1 33.0 -56.1 127  12 637.1 637.1 322.2 637.1  0.01
 80   23 25614 -55.5 -87.5   1 32.0 -57.4 137  13 640.2 640.2 322.3 640.2  0.01
 81   21 26196 -53.1 -86.1   1 33.0 -55.6 180   7 664.3 664.3 323.2 664.4  0.01
 82   20 26510 -53.7 -86.7   1 33.0 -56.2 180   2 671.8 671.8 323.5 671.9  0.01
 83   18 27188 -54.7 -87.7   1 33.0 -57.2 161   6 689.2 689.2 324.1 689.3  0.01
 84   15 28366 -51.3 -84.3   1 33.0 -55.1 170  14 737.4 737.4 325.6 737.6  0.02
 85   13 29303 -49.3 -83.3   1 34.0 -54.2 248  14 775.1 775.1 326.6 775.4  0.03
 86   12 29831 -46.9 -81.9   1 35.0 -53.0 273  14 801.6 801.6 327.3 801.9  0.04
 87   11 30411 -45.3 -80.3   1 35.0 -52.5 300  14 827.6 827.6 327.9 828.1  0.06
 88   10 31050 -43.9 -79.9   1 36.0 -52.1 330  14 855.7 855.7 328.5 856.4  0.07
 89  8.9 31830 -45.5 -80.5   1 35.0 -53.4         878.5 878.5 329.0 879.2  0.07
 90  7.6 32896 -39.7 -76.7   1 37.0 -51.4         942.5 942.6 330.2 944.2  0.15
 91  7.1 33362 -38.9 -75.9   1 37.0 -51.4         964.3 964.4 330.6 966.4  0.18
TRP  197 12183 -64.1 -71.1  38  7.0 -64.1 325  86 332.7 332.7 292.4 332.7  0.01
WND  213 11700 -59.5 -66.5  40  7.0 -59.6 330  88 332.4 332.4 292.4 332.5  0.02
